municipality,mw,project_key,province,reason,region,source,title,url
,319.11,prj:4ef382c19c5037b8,TA,excluded_from_top_projects_because_suspicious,Puglia,puglia,Impianto FER agrivoltaico - Comune di Gravina in Puglia (BA) - 67.05 MW,https://dati.puglia.it/ckan/dataset/impianti-proposti-via-fer
,83.2,url:0b16620a39c0189c:split:319d02e8,BO,excluded_from_top_projects_because_suspicious,Emilia-Romagna,emilia_romagna,"ARPAE: PROGETTO DI REALIZZAZIONE DI UN IMPIANTO AGRIVOLTAICO INTEGRATO CON POTENZA DI PICCO PARI A 22,25 MWP, SISTEMA DI ACCUMULO E OPERE CONNESSE NEI COMUNI DI SALA BOLOGNESE (BO), CALDERARA DI RENO (BO) E SAN GIOVANNI IN PERSICETO (BO) DENOMINATO “PRATELLO”",https://serviziambiente.regione.emilia-romagna.it/viavasweb/ricerca/dettaglio/6658
,15.0,url:9c3333c2f3ff034f,RM,excluded_from_top_projects_because_suspicious,Lazio,lazio,Determinazione n°G09167 del 08/07/2021 Favorevole con prescrizioni Realizzazione Impianto FV da 15 MWp in loc. Giannettoli connesso nel comune di Cisterna di Latina (LT) Provvedimento Autorizzatorio Unico Regionale n° G12373 del 11/10/2021,https://regionelazio.app.box.com/v/VIA-085-2020
,15.0,url:b0f3e2c3229979f1,MO,excluded_from_top_projects_because_suspicious,Emilia-Romagna,emilia_romagna,"IMPIANTO SOLARE AGRIVOLTAICO AVANZATO DENOMINATO CARPI 1 E OPERE CONNESSE CON POTENZA DI PICCO DI 12.904,92 KWP",https://serviziambiente.regione.emilia-romagna.it/viavasweb/ricerca/dettaglio/6813
