project_name,proponent,region,province,municipalities,project_type,power_mw,status,source,url,updated_at
"[ID 2580] Realizzazione di Impianto Agrivoltaico a terra connesso alla RTN di Potenza pari a 51,13 MWp con Sistema di accumulo di Potenza pari a 40,8 MW e relative opere di connessione situato nel Comune/i di MANCIANO - Proponente: ITA 8 S.R.L.",ITA 8 S.R.L.,Toscana,GROSSETO,MANCIANO,Verifica di Assoggettabilità a VIA,51.13,Consultazione conclusa,toscana,https://servizi.patti.regione.toscana.it/star-info/avvisiPubblici?id=174,2026-04-26T15:18:55.696027
"Progetto di Impianto Fotovoltaico e opere di Urbanizzazione denominato "" LOTTI 1 E 2 DEL PEC ""8B1"""", TECHBAU GREEN ENERGY S.p.A., Santa Vittoria d'Alba (CN), ZSC IT 1160029 Colonie di chirotteri di Santa Vittoria e Monticello dAlba",TECHBAU GREEN ENERGY S.p.A,Piemonte,CN,SANTA VITTORIA D'ALBA,Valutazione di incidenza,,in_corso,piemonte,http://www.sistemapiemonte.it/skvia/HomePage.do?ricerca=ArchivioProgetti,2026-04-26T15:19:03.813100
"Valutazione Impatto Ambientale (PNIEC-PNRR): Progetto di un impianto agro-fotovoltaico denominato ""Corciolo"" della potenza pari a 48,7 MW con un sistema di accumulo di 24 MW e relative opere di connessione alla RTN, da realizzarsi nel territorio dei comuni",EPD Renewables Italia Holding S.r.l.,Puglia,BR,Mesagne,Valutazione Impatto Ambientale (PNIEC-PNRR),48.7,positivo,mase_provvedimenti,https://va.mite.gov.it/it-IT/Comunicazione/DettaglioUltimiProvvedimenti/6047,2026-04-26T15:23:26.923069
"Impianto agrivoltaico Terranova 2 di potenza nominale pari a 21,29 MWp in comune di Terranova dei Passerini, località Fornaci SP 213.",JUWI ENERGIE RINNOVABILI SRL,Lombardia,,Terranova dei Passerini,V.E.R. Provinciali,21.29,concluso,lombardia,https://www.silvia.servizirl.it/silviaweb/#/scheda-sintesi/16766,2026-04-26T15:12:45.092260
Impianto FER agrivoltaico - Comune di Arnesano (LE) - 50.96 MW,,Puglia,LE,Arnesano,Puglia VIA FER - agrivoltaico,50.96,Trasmesso,puglia,https://dati.puglia.it/ckan/dataset/impianti-proposti-via-fer,2026-04-26T15:12:47.266024
PROGETTO PER LA REALIZZAZIONE DI UN IMPIANTO FOTOVOLTAICO E DI TUTTE LE OPERE E INFRASTRUTTURE CONNESSE NOMINATO “CARCIONE” SITO NEL TERRITORIO DEL COMUNE DI CARLENTINI.,MP SICILY 1 SRL,Sicilia,,"CARLENTINI, DI CARLENTINI",Verifica di Assoggettabilita a VIA (art.19),,,sicilia,https://si-vvi.regione.sicilia.it/viavas/index.php/it/component/fabrik/list/30?Itemid=332&procedura___oggetto_raw=970&limitstart30=0&resetfilters=1&fabrik_incsessionfilters=0,2026-04-26T15:12:46.246786
Impianto FER agrivoltaico - Comune di Brindisi (BR) - 68.78 MW,,Puglia,BR,Brindisi,Puglia VIA FER - agrivoltaico,68.78,concluso,puglia,https://dati.puglia.it/ckan/dataset/impianti-proposti-via-fer,2026-04-26T15:12:47.674792
Impianto FER agrivoltaico - Comune di Foggia (FG) - 30.77 MW,,Puglia,FG,Foggia,Puglia VIA FER - agrivoltaico,30.77,Aperto,puglia,https://dati.puglia.it/ckan/dataset/impianti-proposti-via-fer,2026-04-26T15:12:47.676673
Impianto FER agrivoltaico - Comune di Lucera (FG) - 75.49 MW,,Puglia,FG,Lucera,Puglia VIA FER - agrivoltaico,75.49,Trasmesso,puglia,https://dati.puglia.it/ckan/dataset/impianti-proposti-via-fer,2026-04-26T15:12:47.689443
"Verifica – Impianto fotovoltaico denominato “Noragugume""",CCEN Noragugume S.r.l,Sardegna,,,VERIFICA,6.5835,Riavvio procedimento,sardegna,https://portal.sardegnasira.it/-/verifica-impianto-fotovoltaico-denominato-noragugume-,2026-04-26T15:18:54.492648
"PAUR per impianto agrivoltaico di produzione di energia elettrica da fonte solare di potenza 24,794 MWp, ubicato in aree idonee ai sensi dell'art. 20 comma 8 del D.lgs. 199/2021, nel Comune di Santa Maria La Fossa (Ce)",SINERGIA GP16 S.r.l.,Campania,,SANTA MARIA LA FOSSA,PAUR,24.794,,campania,http://viavas.regione.campania.it/opencms/opencms/VIAVAS/VIA_files_new/Progetti/prg_10124_prot_2025.189626_del_14-04-2025.via,2026-04-26T15:19:04.510041
"Progetto di un impianto per la produzione di energia elettrica da fonte rinnovabile solare fotovoltaica di potenza pari a 19,99 MWp (somma della potenza dei moduli) da realizzare nel Comune di Sant'Arcangelo (PZ) e delle relative opere di connessione alla RTN.",EG CELESTE S.R.L.,Basilicata,PZ,SANT'ARCANGELO,Verifica di Ottemperanza (PNIEC-PNRR),19.99,Verifica di Ottemperanza (PNIEC-PNRR),mase,https://va.mite.gov.it/it-IT/Oggetti/Info/8021,2026-04-26T15:20:04.618601
