idx_a,idx_b,is_terna_a,is_terna_b,merge,municipality_a,municipality_b,mw_a,mw_b,province_a,province_b,province_norm_a,province_norm_b,reason,region_a,region_b,score,source_a,source_b,title_a,title_b,url_a,url_b
42,404,False,False,False,,,120.046,44.489,FG,FG,FG,FG,mw_conflict:120.046!=44.489,Puglia,Puglia,0,sistema_puglia_energia,sistema_puglia_energia,Determinazione del Dirigente Sezione Transizione Energetica n. 282 del 21 Novembre 2025,Determinazione del Dirigente Sezione Transizione Energetica n. 292 del 28 Novembre 2025,https://www.sistema.puglia.it/portal/page/portal/SistemaPuglia/DettaglioInfo?id=63780,https://www.sistema.puglia.it/portal/page/portal/SistemaPuglia/DettaglioInfo?id=63809
42,450,False,False,False,,,120.046,41.038,FG,FG,FG,FG,mw_conflict:120.046!=41.038,Puglia,Puglia,0,sistema_puglia_energia,sistema_puglia_energia,Determinazione del Dirigente Sezione Transizione Energetica n. 282 del 21 Novembre 2025,Determinazione del Dirigente Sezione Transizione Energetica n. 273 del 12 Novembre 2025,https://www.sistema.puglia.it/portal/page/portal/SistemaPuglia/DettaglioInfo?id=63780,https://www.sistema.puglia.it/portal/page/portal/SistemaPuglia/DettaglioInfo?id=63778
42,467,False,False,False,,,120.046,40.0,FG,BR,FG,BR,province_conflict:FG!=BR,Puglia,Puglia,0,sistema_puglia_energia,sistema_puglia_energia,Determinazione del Dirigente Sezione Transizione Energetica n. 282 del 21 Novembre 2025,Determinazione del Dirigente Sezione Transizione Energetica n. 263 del 6 Novembre 2025,https://www.sistema.puglia.it/portal/page/portal/SistemaPuglia/DettaglioInfo?id=63780,https://www.sistema.puglia.it/portal/page/portal/SistemaPuglia/DettaglioInfo?id=63747
42,665,False,False,False,,,120.046,27.1,FG,BR,FG,BR,province_conflict:FG!=BR,Puglia,Puglia,0,sistema_puglia_energia,sistema_puglia_energia,Determinazione del Dirigente Sezione Transizione Energetica n. 282 del 21 Novembre 2025,Determinazione del Dirigente Sezione Transizione Energetica n. 294 del 28 Novembre 2025,https://www.sistema.puglia.it/portal/page/portal/SistemaPuglia/DettaglioInfo?id=63780,https://www.sistema.puglia.it/portal/page/portal/SistemaPuglia/DettaglioInfo?id=63807
42,1042,False,False,False,,,120.046,8.5,FG,BA,FG,BA,province_conflict:FG!=BA,Puglia,Puglia,0,sistema_puglia_energia,sistema_puglia_energia,Determinazione del Dirigente Sezione Transizione Energetica n. 282 del 21 Novembre 2025,Determinazione del Dirigente Sezione Transizione Energetica n. 268 del 7 Novembre 2025,https://www.sistema.puglia.it/portal/page/portal/SistemaPuglia/DettaglioInfo?id=63780,https://www.sistema.puglia.it/portal/page/portal/SistemaPuglia/DettaglioInfo?id=63777
42,1099,False,False,False,,,120.046,6.6,FG,FG,FG,FG,mw_conflict:120.046!=6.6,Puglia,Puglia,0,sistema_puglia_energia,sistema_puglia_energia,Determinazione del Dirigente Sezione Transizione Energetica n. 282 del 21 Novembre 2025,Determinazione del Dirigente Sezione Transizione Energetica n. 274 del 12 Novembre 2025,https://www.sistema.puglia.it/portal/page/portal/SistemaPuglia/DettaglioInfo?id=63780,https://www.sistema.puglia.it/portal/page/portal/SistemaPuglia/DettaglioInfo?id=63779
52,53,False,False,False,,,110.94,110.855,,,,,title_similarity:0.94+same_region+same_mw+title_token_overlap:1.00,Sicilia,Sicilia,79,sicilia,sicilia,"IMPIANTO AGRO-FOTOVOLTAICO A TERRA DENOMINATO “S&P 5”, DI POTENZA COMPLESSIVA PARI A 110.940 KWP (65.000 KW IN IMMISSIONE)","IMPIANTO AGRO-FOTOVOLTAICO A TERRA DENOMINATO “S&P 7”, DI POTENZA COMPLESSIVA PARI A 110.855,10 KWP (100.000 KW IN IMMISSIONE)",https://si-vvi.regione.sicilia.it/viavas/index.php/it/component/fabrik/list/30?Itemid=332&procedura___oggetto_raw=860&limitstart30=0&resetfilters=1&fabrik_incsessionfilters=0,https://si-vvi.regione.sicilia.it/viavas/index.php/it/component/fabrik/list/30?Itemid=332&procedura___oggetto_raw=1332&limitstart30=0&resetfilters=1&fabrik_incsessionfilters=0
52,81,False,False,False,,,110.94,92.64,,,,,mw_conflict:110.94!=92.64,Sicilia,Sicilia,0,sicilia,sicilia,"IMPIANTO AGRO-FOTOVOLTAICO A TERRA DENOMINATO “S&P 5”, DI POTENZA COMPLESSIVA PARI A 110.940 KWP (65.000 KW IN IMMISSIONE)","IMPIANTO AGRO-FOTOVOLTAICO A TERRA DENOMINATO “S&P 3”, DI POTENZA COMPLESSIVA PARI A 92.640,00 KWP (60.000 KW IN IMMISSIONE)",https://si-vvi.regione.sicilia.it/viavas/index.php/it/component/fabrik/list/30?Itemid=332&procedura___oggetto_raw=860&limitstart30=0&resetfilters=1&fabrik_incsessionfilters=0,https://si-vvi.regione.sicilia.it/viavas/index.php/it/component/fabrik/list/30?Itemid=332&procedura___oggetto_raw=857&limitstart30=0&resetfilters=1&fabrik_incsessionfilters=0
52,101,False,False,False,,,110.94,87.468,,,,,mw_conflict:110.94!=87.468,Sicilia,Sicilia,0,sicilia,sicilia,"IMPIANTO AGRO-FOTOVOLTAICO A TERRA DENOMINATO “S&P 5”, DI POTENZA COMPLESSIVA PARI A 110.940 KWP (65.000 KW IN IMMISSIONE)","IMPIANTO AGRO-FOTOVOLTAICO A TERRA DENOMINATO “S&P 4”, DI POTENZA COMPLESSIVA PARI A 87.468,00 KWP (60.000 KW IN IMMISSIONE)",https://si-vvi.regione.sicilia.it/viavas/index.php/it/component/fabrik/list/30?Itemid=332&procedura___oggetto_raw=860&limitstart30=0&resetfilters=1&fabrik_incsessionfilters=0,https://si-vvi.regione.sicilia.it/viavas/index.php/it/component/fabrik/list/30?Itemid=332&procedura___oggetto_raw=859&limitstart30=0&resetfilters=1&fabrik_incsessionfilters=0
52,601,False,False,False,,,110.94,30.732,,,,,mw_conflict:110.94!=30.732,Sicilia,Sicilia,0,sicilia,sicilia,"IMPIANTO AGRO-FOTOVOLTAICO A TERRA DENOMINATO “S&P 5”, DI POTENZA COMPLESSIVA PARI A 110.940 KWP (65.000 KW IN IMMISSIONE)","IMPIANTO AGRO-FOTOVOLTAICO A TERRA DENOMINATO “S&P 2”, DI POTENZA COMPLESSIVA PARI A 30.732 KWP (20.000 KW IN IMMISSIONE)",https://si-vvi.regione.sicilia.it/viavas/index.php/it/component/fabrik/list/30?Itemid=332&procedura___oggetto_raw=860&limitstart30=0&resetfilters=1&fabrik_incsessionfilters=0,https://si-vvi.regione.sicilia.it/viavas/index.php/it/component/fabrik/list/30?Itemid=332&procedura___oggetto_raw=856&limitstart30=0&resetfilters=1&fabrik_incsessionfilters=0
