project_name,proponent,region,province,municipalities,project_type,power_mw,status,source,url,updated_at
"Valutazione Impatto Ambientale (PNIEC-PNRR): Progetto di un impianto agrivoltaico, denominato ""Calabrese"", con potenza di picco pari a 35,55 MW, integrato con un sistema di accumulo da 16 MW, da realizzarsi nel comune di Nardò (LE), e delle relative opere",SOLARANTO S.r.l.,Puglia,LE,"Nardò, Galatone",Valutazione Impatto Ambientale (PNIEC-PNRR),35.55,positivo,mase_provvedimenti,https://va.mite.gov.it/it-IT/Comunicazione/DettaglioUltimiProvvedimenti/5970,2026-04-26T08:12:51.850527
"Valutazione Impatto Ambientale (PNIEC-PNRR): Progetto di un impianto agrivoltaico denominato ""Grillo"", avente potenza di 53,97 MW e delle relative opere di connessione alla RTN, da realizzarsi nei comuni di Mazara del Vallo (TP) e Marsala (TP).",ENGIE Grillo S.r.l.,Sicilia,TP,Mazara del Vallo,Valutazione Impatto Ambientale (PNIEC-PNRR),53.97,positivo,mase_provvedimenti,https://va.mite.gov.it/it-IT/Comunicazione/DettaglioUltimiProvvedimenti/5972,2026-04-26T08:12:51.853219
"Valutazione Impatto Ambientale (PNIEC-PNRR): Progetto di un impianto solare agrivoltaico connesso alla RTN della potenza di picco pari a 27,65 MW e delle relative opere di connessione alla RTN ricadenti nel comune di Buseto Palizzolo (TP) e piano agronomic",INE Elios-Menta S.r.l.,Sicilia,TP,Buseto Palizzolo,Valutazione Impatto Ambientale (PNIEC-PNRR),27.65,positivo,mase_provvedimenti,https://va.mite.gov.it/it-IT/Comunicazione/DettaglioUltimiProvvedimenti/5969,2026-04-26T08:12:51.858219
"Valutazione Impatto Ambientale (PNIEC-PNRR): Progetto per la costruzione e l'esercizio di un impianto agrivoltaico di produzione di energia elettrica da fonte solare avente potenza di picco pari a 45.12 MWp e una potenza nominale di 39.76 MW, e relative op",Altobrando Srl,Sicilia,CT,"Taranto, Catania",Valutazione Impatto Ambientale (PNIEC-PNRR),45.12,positivo,mase_provvedimenti,https://va.mite.gov.it/it-IT/Comunicazione/DettaglioUltimiProvvedimenti/5960,2026-04-26T08:12:51.870181
"Valutazione Impatto Ambientale (PNIEC-PNRR): Progetto di un impianto agrivoltaico denominato ""Varna Solar"", di potenza pari a 45,02 MW e delle relative opere di connessione alla RTN da realizzarsi nel Comune di Belpasso (CT) e nel Comune di Catania.",Varna Solar S.r.l.,Sicilia,CT,"Belpasso, Catania",Valutazione Impatto Ambientale (PNIEC-PNRR),45.02,positivo,mase_provvedimenti,https://va.mite.gov.it/it-IT/Comunicazione/DettaglioUltimiProvvedimenti/5966,2026-04-26T08:12:51.883308
"IMPIANTO FOTOVOLTAICO DENOMINATO \SOLE SICILIANO 2\""""",FALCK RENEWABLES SICILIA S.R.L.,Sicilia,,,V.I.A. (art.23 - 27bis),,,sicilia,https://si-vvi.regione.sicilia.it/viavas/index.php/it/component/fabrik/list/30?Itemid=332&procedura___oggetto_raw=1155&limitstart30=0&resetfilters=1&fabrik_incsessionfilters=0,2026-04-26T08:06:44.080984
IMPIANTO FOTOVOLTAICO KAIROS,RAMACCA SOLAR S.R.L.,Sicilia,,,V.I.A. (art.23 - 27bis),,,sicilia,https://si-vvi.regione.sicilia.it/viavas/index.php/it/component/fabrik/list/30?Itemid=332&procedura___oggetto_raw=1223&limitstart30=0&resetfilters=1&fabrik_incsessionfilters=0,2026-04-26T08:06:44.104940
"VERIFICA ASSOGGETTABILITÀ A VIA-ART. 19 DLGS 152/06S.M.I. “PROGETTO PER LA REALIZZAZIONE DI UN PARCO FOTOVOLTAICO DA 45MW – DENOMINATO GRANILIA01 - E RELATIVE OPERE DI CONNESSIONE ALLA RTN, NEL COMUNE DI RAMACCA (CT) LOCALITÀ MONTAGNA.",ITS TURPINO S.R.L.,Sicilia,CT,"RAMACCA, DI RAMACCA",Verifica di Assoggettabilita a VIA (art.19),45.0,,sicilia,https://si-vvi.regione.sicilia.it/viavas/index.php/it/component/fabrik/list/30?Itemid=332&procedura___oggetto_raw=1234&limitstart30=0&resetfilters=1&fabrik_incsessionfilters=0,2026-04-26T08:06:44.112750
IMPIANTO FOTOVOLTAICO - FRIDDICELLI,SUNVILLE SRL,Sicilia,,,V.I.A. (art.23 - 27bis),,,sicilia,https://si-vvi.regione.sicilia.it/viavas/index.php/it/component/fabrik/list/30?Itemid=332&procedura___oggetto_raw=1243&limitstart30=0&resetfilters=1&fabrik_incsessionfilters=0,2026-04-26T08:06:44.117619
"Provvedimento Autorizzatorio Unico Regionale n° G06089 del 22/05/2024 Intervento di realizzazione dell’impianto agrovoltaico da 9.972,72 kWp denominato “Nettuno” Determinazione n° G02753 del 12/03/2024 - Favorevole con prescrizioni",VPD SOLAR 10 SRL,Lazio,Roma,Nettuno,VIA,9.97272,positivo,lazio,https://regionelazio.app.box.com/v/VIA-073-2022,2026-04-26T08:07:23.402832
"Valutazione Impatto Ambientale (PNIEC-PNRR): Progetto di un impianto fotovoltaico della potenza di 10,42 MW, successivamente ridotta a 10,16 MWp, e delle relative opere di connessione alla RTN, da realizzarsi nei Comuni di Villanova Truschedu e Ollastra (O",BALTEX SARDEGNA 10 VILLANOVA TRUSCHEDU S.R.L.,Sardegna,OR,"Villanova Truschedu, Ollastra",Valutazione Impatto Ambientale (PNIEC-PNRR),10.42,positivo,mase_provvedimenti,https://va.mite.gov.it/it-IT/Comunicazione/DettaglioUltimiProvvedimenti/5989,2026-04-26T08:12:51.838142
"Valutazione Impatto Ambientale (PNIEC-PNRR): Progetto di un impianto fotovoltaico denominato ""Olivola"", di potenza pari a 77,99 MW e delle relative opere di connessione alla RTN, da realizzarsi nel Comune di Benevento (BN).",RWE Renewables Italia S.r.l.,Campania,BN,Benevento,Valutazione Impatto Ambientale (PNIEC-PNRR),77.99,positivo,mase_provvedimenti,https://va.mite.gov.it/it-IT/Comunicazione/DettaglioUltimiProvvedimenti/5955,2026-04-26T08:12:51.892930
"Valutazione Impatto Ambientale (PNIEC-PNRR): Progetto di un impianto agrivoltaico, di potenza pari a 36,77 MW, sito nel Comune di Enna (EN), in località Mulinello, e delle relative opere di connessione alla RTN, ricadenti anche nel Comune di Assoro (EN)",ENNA 3 PV S.R.L.,Sicilia,EN,"Enna, Assoro",Valutazione Impatto Ambientale (PNIEC-PNRR),36.77,positivo,mase_provvedimenti,https://va.mite.gov.it/it-IT/Comunicazione/DettaglioUltimiProvvedimenti/5948,2026-04-26T08:12:51.900569
"Valutazione Impatto Ambientale (PNIEC-PNRR): Progetto di un impianto agrivoltaico, di potenza pari a 42,79 MW, sito nel Comune di Enna (EN), in località Calderari, e delle relative opere di connessione alla RTN, ricadenti anche nei Comuni di Assoro (EN) e",ENNA 2 PV S.R.L.,Sicilia,EN,"Enna, Assoro",Valutazione Impatto Ambientale (PNIEC-PNRR),42.79,positivo,mase_provvedimenti,https://va.mite.gov.it/it-IT/Comunicazione/DettaglioUltimiProvvedimenti/5943,2026-04-26T08:12:51.903142
"Valutazione Impatto Ambientale (PNIEC-PNRR): Progetto di un impianto agrivoltaico, della potenza di 42,334 MW e delle relative opere di connessione alla RTN, da realizzarsi nei comuni di Salice Salentino (LE), Guagnano (LE), San Pancrazio Salentino (BR) ed",SOLAR ENERGY QUATTRO S.R.L.,Puglia,LE,Salice Salentino,Valutazione Impatto Ambientale (PNIEC-PNRR),42.334,positivo,mase_provvedimenti,https://va.mite.gov.it/it-IT/Comunicazione/DettaglioUltimiProvvedimenti/5944,2026-04-26T08:12:51.905447
